Date,Value
27/06/2014,16851.84
26/06/2014,16846.13
25/06/2014,16867.51
24/06/2014,16818.13
23/06/2014,16937.26
20/06/2014,16947.08
19/06/2014,16921.46
18/06/2014,16906.62
17/06/2014,16808.49
16/06/2014,16781.01
13/06/2014,16775.74
12/06/2014,16734.19
11/06/2014,16843.88
10/06/2014,16945.92
09/06/2014,16943.1
06/06/2014,16924.28
05/06/2014,16836.11
04/06/2014,16737.53
03/06/2014,16722.34
02/06/2014,16743.63
30/05/2014,16717.17
29/05/2014,16698.74
28/05/2014,16633.18
27/05/2014,16675.5
23/05/2014,16606.27
22/05/2014,16543.08
21/05/2014,16533.06
20/05/2014,16374.31
19/05/2014,16511.86
16/05/2014,16491.31
15/05/2014,16446.81
14/05/2014,16613.97
13/05/2014,16715.44
12/05/2014,16695.47
09/05/2014,16583.34
08/05/2014,16550.97
07/05/2014,16518.54
06/05/2014,16401.02
05/05/2014,16530.55
02/05/2014,16512.89
01/05/2014,16558.87
30/04/2014,16580.84
29/04/2014,16535.37
28/04/2014,16448.74
25/04/2014,16361.46
24/04/2014,16501.65
23/04/2014,16501.65
22/04/2014,16514.37
21/04/2014,16449.25
17/04/2014,16408.54
16/04/2014,16424.85
15/04/2014,16262.56
14/04/2014,16173.24
11/04/2014,16026.75
10/04/2014,16170.22
09/04/2014,16437.18
08/04/2014,16256.14
07/04/2014,16245.87
04/04/2014,16412.71
03/04/2014,16572.55
02/04/2014,16573
01/04/2014,16532.61
31/03/2014,16457.66
28/03/2014,16323.06
27/03/2014,16264.23
26/03/2014,16268.99
25/03/2014,16367.88
24/03/2014,16276.69
21/03/2014,16302.77
20/03/2014,16331.05
19/03/2014,16222.17
18/03/2014,16336.19
17/03/2014,16247.22
14/03/2014,16065.67
13/03/2014,16108.89
12/03/2014,16340.08
11/03/2014,16351.25
10/03/2014,16418.68
07/03/2014,16452.72
06/03/2014,16421.89
05/03/2014,16360.18
04/03/2014,16395.88
03/03/2014,16168.03
28/02/2014,16321.71
27/02/2014,16272.65
26/02/2014,16198.41
25/02/2014,16179.66
24/02/2014,16207.14
21/02/2014,16103.3
20/02/2014,16133.23
19/02/2014,16040.56
18/02/2014,16130.4
14/02/2014,16154.39
13/02/2014,16027.59
12/02/2014,15963.94
11/02/2014,15994.77
10/02/2014,15801.79
07/02/2014,15794.08
06/02/2014,15628.53
05/02/2014,15440.23
04/02/2014,15445.24
03/02/2014,15372.8
31/01/2014,15698.85
30/01/2014,15848.61
29/01/2014,15738.79
28/01/2014,15928.56
27/01/2014,15837.88
24/01/2014,15879.11
23/01/2014,16197.35
22/01/2014,16373.34
21/01/2014,16414.44
17/01/2014,16458.56
16/01/2014,16417.01
15/01/2014,16481.94
14/01/2014,16373.86
13/01/2014,16257.94
10/01/2014,16437.05
09/01/2014,16444.76
08/01/2014,16462.74
07/01/2014,16530.94
06/01/2014,16425.1
03/01/2014,16469.99
02/01/2014,16441.35
31/12/2013,16576.66
30/12/2013,16504.29
27/12/2013,16478.41
26/12/2013,16479.88
24/12/2013,16357.55
23/12/2013,16294.61
20/12/2013,16221.14
19/12/2013,16179.08
18/12/2013,16167.97
17/12/2013,15875.26
16/12/2013,15884.57
13/12/2013,15755.36
12/12/2013,15739.43
11/12/2013,15843.53
10/12/2013,15973.13
09/12/2013,16025.53
06/12/2013,16020.2
05/12/2013,15821.51
04/12/2013,15889.77
03/12/2013,15914.62
02/12/2013,16008.77
29/11/2013,16086.41
27/11/2013,16097.33
26/11/2013,16072.8
25/11/2013,16072.54
22/11/2013,16064.77
21/11/2013,16009.99
20/11/2013,15900.82
19/11/2013,15967.03
18/11/2013,15976.02
15/11/2013,15961.7
14/11/2013,15876.22
13/11/2013,15821.63
12/11/2013,15750.67
11/11/2013,15783.1
08/11/2013,15761.78
07/11/2013,15593.98
06/11/2013,15746.88
05/11/2013,15618.22
04/11/2013,15639.12
01/11/2013,15615.55
31/10/2013,15545.75
30/10/2013,15618.76
29/10/2013,15680.35
28/10/2013,15568.93
25/10/2013,15570.28
24/10/2013,15509.21
23/10/2013,15413.33
22/10/2013,15467.66
21/10/2013,15392.2
18/10/2013,15399.65
17/10/2013,15371.65
16/10/2013,15373.83
15/10/2013,15168.01
14/10/2013,15301.26
11/10/2013,15237.11
10/10/2013,15126.07
09/10/2013,14802.98
08/10/2013,14776.53
07/10/2013,14936.24
04/10/2013,15072.58
03/10/2013,14996.48
02/10/2013,15133.14
01/10/2013,15191.7
30/09/2013,15129.67
27/09/2013,15258.24
26/09/2013,15328.3
25/09/2013,15273.26
24/09/2013,15334.59
23/09/2013,15401.38
20/09/2013,15451.09
19/09/2013,15636.55
18/09/2013,15676.94
17/09/2013,15529.73
16/09/2013,15494.78
13/09/2013,15376.06
12/09/2013,15300.64
11/09/2013,15326.6
10/09/2013,15191.06
09/09/2013,15063.12
06/09/2013,14922.5
05/09/2013,14937.48
04/09/2013,14930.87
03/09/2013,14833.96
30/08/2013,14810.31
29/08/2013,14840.95
28/08/2013,14824.51
27/08/2013,14776.13
26/08/2013,14946.46
23/08/2013,15010.51
22/08/2013,14963.74
21/08/2013,14897.55
20/08/2013,15002.99
19/08/2013,15010.74
16/08/2013,15081.47
15/08/2013,15112.19
14/08/2013,15337.66
13/08/2013,15451.01
12/08/2013,15419.68
09/08/2013,15425.51
08/08/2013,15498.32
07/08/2013,15470.67
06/08/2013,15518.74
05/08/2013,15612.13
02/08/2013,15658.36
01/08/2013,15628.02
31/07/2013,15499.54
30/07/2013,15520.59
29/07/2013,15521.97
26/07/2013,15558.83
25/07/2013,15555.61
24/07/2013,15542.24
23/07/2013,15567.74
22/07/2013,15545.55
19/07/2013,15543.74
18/07/2013,15548.54
17/07/2013,15470.52
16/07/2013,15451.85
15/07/2013,15484.26
12/07/2013,15464.3
11/07/2013,15460.92
10/07/2013,15291.66
09/07/2013,15300.34
08/07/2013,15224.69
05/07/2013,15135.84
03/07/2013,14988.55
02/07/2013,14932.41
01/07/2013,14974.96
28/06/2013,14909.6
27/06/2013,15024.49
26/06/2013,14910.14
25/06/2013,14760.31
24/06/2013,14659.56
21/06/2013,14799.4
20/06/2013,14758.32
19/06/2013,15112.19
18/06/2013,15318.23
17/06/2013,15179.85
14/06/2013,15070.18
13/06/2013,15176.08
12/06/2013,14995.23
11/06/2013,15122.02
10/06/2013,15238.59
07/06/2013,15248.12
06/06/2013,15040.62
05/06/2013,14960.59
04/06/2013,15177.54
03/06/2013,15254.03
31/05/2013,15115.57
30/05/2013,15324.53
29/05/2013,15302.8
28/05/2013,15409.39
24/05/2013,15303.1
23/05/2013,15294.5
22/05/2013,15307.17
21/05/2013,15387.58
20/05/2013,15335.28
17/05/2013,15354.4
16/05/2013,15233.22
15/05/2013,15275.69
14/05/2013,15215.25
13/05/2013,15091.68
10/05/2013,15118.49
09/05/2013,15082.62
08/05/2013,15105.12
07/05/2013,15056.2
06/05/2013,14968.89
03/05/2013,14973.96
02/05/2013,14831.58
01/05/2013,14700.95
30/04/2013,14839.8
29/04/2013,14818.75
26/04/2013,14712.55
25/04/2013,14700.8
24/04/2013,14676.3
23/04/2013,14719.46
22/04/2013,14567.17
19/04/2013,14547.51
18/04/2013,14537.14
17/04/2013,14618.59
16/04/2013,14756.78
15/04/2013,14599.2
12/04/2013,14865.06
11/04/2013,14865.14
10/04/2013,14802.24
09/04/2013,14673.46
08/04/2013,14613.48
05/04/2013,14565.25
04/04/2013,14606.11
03/04/2013,14550.35
02/04/2013,14662.01
01/04/2013,14572.85
28/03/2013,14578.54
27/03/2013,14526.16
26/03/2013,14559.65
25/03/2013,14447.75
22/03/2013,14512.03
21/03/2013,14421.49
20/03/2013,14511.73
19/03/2013,14455.82
18/03/2013,14452.06
15/03/2013,14514.11
14/03/2013,14539.14
13/03/2013,14455.28
12/03/2013,14450.06
11/03/2013,14447.29
08/03/2013,14397.07
07/03/2013,14329.49
06/03/2013,14296.24
05/03/2013,14253.77
04/03/2013,14127.82
01/03/2013,14089.66
28/02/2013,14054.49
27/02/2013,14075.37
26/02/2013,13900.13
25/02/2013,13784.17
22/02/2013,14000.57
21/02/2013,13880.62
20/02/2013,13927.54
19/02/2013,14035.67
15/02/2013,13981.76
14/02/2013,13973.39
13/02/2013,13982.91
12/02/2013,14018.7
11/02/2013,13971.24
08/02/2013,13992.97
07/02/2013,13944.05
06/02/2013,13986.52
05/02/2013,13979.3
04/02/2013,13880.08
01/02/2013,14009.79
31/01/2013,13860.58
30/01/2013,13910.42
29/01/2013,13954.42
28/01/2013,13881.93
25/01/2013,13895.98
24/01/2013,13825.33
23/01/2013,13779.33
22/01/2013,13712.21
18/01/2013,13649.7
17/01/2013,13596.02
16/01/2013,13511.23
15/01/2013,13534.89
14/01/2013,13507.32
11/01/2013,13488.43
10/01/2013,13471.22
09/01/2013,13390.51
08/01/2013,13328.85
07/01/2013,13384.29
04/01/2013,13435.21
03/01/2013,13391.36
02/01/2013,13412.55
31/12/2012,13104.14
28/12/2012,12938.11
27/12/2012,13096.31
26/12/2012,13114.59
24/12/2012,13139.08
21/12/2012,13190.84
20/12/2012,13311.72
19/12/2012,13251.97
18/12/2012,13350.96
17/12/2012,13235.39
14/12/2012,13135.01
13/12/2012,13170.72
12/12/2012,13245.45
11/12/2012,13248.44
10/12/2012,13169.88
07/12/2012,13155.13
06/12/2012,13074.04
05/12/2012,13034.49
04/12/2012,12951.78
03/12/2012,12965.6
30/11/2012,13025.58
29/11/2012,13021.82
28/11/2012,12985.11
27/11/2012,12878.13
26/11/2012,12967.37
23/11/2012,13009.68
21/11/2012,12836.89
20/11/2012,12788.51
19/11/2012,12795.96
16/11/2012,12588.31
15/11/2012,12542.38
14/11/2012,12570.95
13/11/2012,12756.18
12/11/2012,12815.08
09/11/2012,12815.39
08/11/2012,12811.32
07/11/2012,12932.73
06/11/2012,13245.68
05/11/2012,13112.44
02/11/2012,13093.16
01/11/2012,13232.62
31/10/2012,13096.46
26/10/2012,13107.21
25/10/2012,13103.68
24/10/2012,13077.34
23/10/2012,13102.53
22/10/2012,13345.89
19/10/2012,13343.51
18/10/2012,13548.94
17/10/2012,13557
16/10/2012,13551.78
15/10/2012,13424.23
12/10/2012,13328.85
11/10/2012,13326.39
10/10/2012,13344.97
09/10/2012,13473.53
08/10/2012,13583.65
05/10/2012,13610.15
04/10/2012,13575.36
03/10/2012,13494.61
02/10/2012,13482.36
01/10/2012,13515.11
28/09/2012,13437.13
27/09/2012,13485.97
26/09/2012,13413.51
25/09/2012,13457.55
24/09/2012,13558.92
21/09/2012,13579.47
20/09/2012,13596.93
19/09/2012,13577.96
18/09/2012,13564.64
17/09/2012,13553.1
14/09/2012,13593.37
13/09/2012,13539.86
12/09/2012,13333.35
11/09/2012,13323.36
10/09/2012,13254.29
07/09/2012,13306.64
06/09/2012,13292
05/09/2012,13047.48
04/09/2012,13035.94
31/08/2012,13090.84
30/08/2012,13000.71
29/08/2012,13107.48
28/08/2012,13102.99
27/08/2012,13124.67
24/08/2012,13157.97
23/08/2012,13057.46
22/08/2012,13172.76
21/08/2012,13203.58
20/08/2012,13271.64
17/08/2012,13275.2
16/08/2012,13250.11
15/08/2012,13164.78
14/08/2012,13172.14
13/08/2012,13169.43
10/08/2012,13207.95
09/08/2012,13165.19
08/08/2012,13175.64
07/08/2012,13168.6
06/08/2012,13117.51
03/08/2012,13096.17
02/08/2012,12878.88
01/08/2012,12971.06
31/07/2012,13008.68
30/07/2012,13073.01
27/07/2012,13075.66
26/07/2012,12887.93
25/07/2012,12676.05
24/07/2012,12617.32
23/07/2012,12721.46
20/07/2012,12822.57
19/07/2012,12943.36
18/07/2012,12908.7
17/07/2012,12805.54
16/07/2012,12727.21
13/07/2012,12777.09
12/07/2012,12573.27
11/07/2012,12604.53
10/07/2012,12653.12
09/07/2012,12736.29
06/07/2012,12772.47
05/07/2012,12896.67
03/07/2012,12943.82
02/07/2012,12871.39
29/06/2012,12880.09
28/06/2012,12602.26
27/06/2012,12627.01
26/06/2012,12534.67
25/06/2012,12502.66
22/06/2012,12640.78
21/06/2012,12573.57
20/06/2012,12824.39
19/06/2012,12837.33
18/06/2012,12741.82
15/06/2012,12767.17
14/06/2012,12651.91
13/06/2012,12496.38
12/06/2012,12573.8
11/06/2012,12411.23
08/06/2012,12554.2
07/06/2012,12460.96
06/06/2012,12414.79
05/06/2012,12127.95
04/06/2012,12101.46
01/06/2012,12118.57
31/05/2012,12393.45
30/05/2012,12419.86
29/05/2012,12580.69
25/05/2012,12454.83
24/05/2012,12529.75
23/05/2012,12496.15
22/05/2012,12502.81
21/05/2012,12504.48
18/05/2012,12369.38
17/05/2012,12442.49
16/05/2012,12598.55
15/05/2012,12632
14/05/2012,12695.35
11/05/2012,12820.6
10/05/2012,12855.04
09/05/2012,12835.06
08/05/2012,12932.09
07/05/2012,13008.53
04/05/2012,13038.27
03/05/2012,13206.59
02/05/2012,13268.57
01/05/2012,13279.32
30/04/2012,13213.63
27/04/2012,13228.31
26/04/2012,13204.62
25/04/2012,13090.72
24/04/2012,13001.56
23/04/2012,12927.17
20/04/2012,13029.26
19/04/2012,12964.1
18/04/2012,13032.75
17/04/2012,13115.54
16/04/2012,12921.41
13/04/2012,12849.59
12/04/2012,12986.58
11/04/2012,12805.39
10/04/2012,12715.93
09/04/2012,12929.59
05/04/2012,13060.14
04/04/2012,13074.75
03/04/2012,13199.55
02/04/2012,13264.49
30/03/2012,13212.04
29/03/2012,13145.82
28/03/2012,13126.21
27/03/2012,13197.73
26/03/2012,13241.63
23/03/2012,13080.73
22/03/2012,13046.14
21/03/2012,13124.62
20/03/2012,13170.19
19/03/2012,13239.13
16/03/2012,13232.62
15/03/2012,13252.76
14/03/2012,13194.1
13/03/2012,13177.68
12/03/2012,12959.71
09/03/2012,12922.02
08/03/2012,12907.94
07/03/2012,12837.33
06/03/2012,12759.15
05/03/2012,12962.81
